"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Common Rock Thrush","Monticola saxatilis",,"Ottavio Janni",2013-05-04,11:00,"Letino, Province of Caserta, Campania",Italy,41.4619,14.2694,1100,song,"Song flight until about 0.15 and from about 0.56 to 1.25, otherwise singing from exposed perch on top of small tree

bird-seen:yes

playback-used:no",,132329,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Jordi Calvet",2012-05-26,9:13,"Serra de Rubió, Anoia, Catalunya",Spain,41.6584,1.6148,600,song,"male perched","Emberiza hortulana",102155,//creativecommons.org/licenses/by-nc-nd/2.5/
"Common Rock Thrush","Monticola saxatilis",,"Jordi Calvet",2022-05-22,12:00,"Bagà, el Berguedà, Catalunya",Spain,42.2525,1.8631,800,"adult, male, song","Perched

bird-seen:yes

playback-used:no","Phoenicurus ochruros",726701,//creativecommons.org/licenses/by-nc-nd/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jerome Fischer",2022-05-20,07:30,"Därstetten, Niedersimmental, Bern",Switzerland,46.7049,7.4737,1900,song,"

bird-seen:yes

playback-used:no",,725743,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Giuseppe Speranza",2021-06-19,09:00,"Nago-torbole, Trentino, Trentino-Alto Adige",Italy,45.8479,10.8665,240,song,"

bird-seen:no

playback-used:no","Phylloscopus bonelli,Cyanistes caeruleus",667175,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Marcel Gil Velasco",2021-06-29,10:30,"Villablino (near  Cabrillanes), León, Castilla y León",Spain,43.0092,-6.2256,1400,"male, song","

bird-seen:yes

playback-used:no",,660123,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Marcel Gil Velasco",2021-06-29,10:30,"Villablino (near  Cabrillanes), León, Castilla y León",Spain,43.0092,-6.2256,1400,"male, song","

bird-seen:yes

playback-used:no",,660122,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Paulo Alves",2021-05-20,15:30,"Boticas e Granja (near  Boticas), Boticas, Vila Real",Portugal,41.6707,-7.6659,600,"male, song","

bird-seen:yes

playback-used:no",,653822,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"David Marques",2020-06-01,09:30,"Leuk, Leuk, Wallis",Switzerland,46.3216,7.6444,1080,"adult, call, female","

bird-seen:yes

playback-used:no","Cuculus canorus,Phylloscopus bonelli,Sylvia atricapilla,Periparus ater",564137,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Alexis Bruyère",2019-09-01,09:00,"Les Estables, Haute-Loire, Auvergne-Rhône-Alpes",France,44.8947,4.1653,1464,"adult, male, song","

bird-seen:yes

playback-used:no",,506716,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Frank Lambert",2019-05-29,05:51,"Baga Bogt, Baruunbayan-Ulaan, Övörkhangai",Mongolia,44.9459,101.5109,2300,"male, song","

bird-seen:yes

playback-used:no",,481522,//creativecommons.org/licenses/by-nc-nd/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Frank Lambert",2018-06-13,05:01,"Baga Bogt, Baruunbayan-Ulaan, Övörkhangai",Mongolia,44.9459,101.5109,2200,"male, song","

bird-seen:yes

playback-used:no",,452294,//creativecommons.org/licenses/by-nc-nd/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Frank Lambert",2018-06-13,05:12,"Baga Bogt, Baruunbayan-Ulaan, Övörkhangai",Mongolia,44.9459,101.5109,2200,"male, song","

bird-seen:yes

playback-used:no",,452293,//creativecommons.org/licenses/by-nc-nd/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2017-07-14,10:00,"Valleraugue, Gard, Occitanie",France,44.1153,3.5666,1400,"call, call type 2, nasal call","

bird-seen:yes

playback-used:no",,380049,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2017-07-14,10:00,"Valleraugue, Gard, Occitanie",France,44.1153,3.5666,1400,"call, call type 2, nasal call","

bird-seen:yes

playback-used:no",,380048,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2017-07-14,10:00,"Valleraugue, Gard, Occitanie",France,44.1153,3.5666,1400,"call, call type 1, nasal call","

bird-seen:yes

playback-used:no",,380047,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2017-07-14,10:00,"Valleraugue, Gard, Occitanie",France,44.1153,3.5666,1400,"male, song","

bird-seen:yes

playback-used:no",,380045,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,Dimitri,2017-06-29,15:00,"Montecristo, AQ",Italy,42.4019,13.572,1600,song,"Singing from a rock in a pasture.

bird-seen:yes

playback-used:no",,378182,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Harry Hussey",2017-06-09,12:30,"Şahbuz, Nakhchivan Autonomous Republic",Azerbaijan,39.5551,45.7477,2300,song,"

bird-seen:yes

playback-used:no","Phoenicurus ochruros,Cuculus canorus",377050,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Cedric Mroczko",2016-08-20,20:30,"Sierra Norte (near  Rascafría), Madrid, Comunidad de Madrid",Spain,40.9274,-3.9218,2000,"alarm call","High-pass filtered (500Hz, 6dB)

bird-seen:yes

playback-used:no","Fringilla coelebs,Prunella modularis",350319,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Tero Linjama",2007-05-30,07:00,"Nemrut Dagi",Turkey,37.997,38.4937,950,song,"

bird-seen:yes

playback-used:no",,346454,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jordi Calvet",2016-06-27,10:06,"Serra de Rubió, Anoia, Catalunya",Spain,41.6584,1.6148,800,"male, song","

bird-seen:yes

playback-used:no",,326648,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jordi Calvet",2015-04-28,10:40,"L'Anoia (near  Rubió), Barcelona, Catalonia",Spain,41.6747,1.5791,750,"male, song","

bird-seen:yes

playback-used:no",,237725,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Albert Lastukhin",2014-05-03,09:00,"Zhanakorgan District, Kyzylorda Province",Kazakhstan,43.9209,67.6331,360,"male, song","

bird-seen:yes

playback-used:no",,183680,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Albert Lastukhin",2014-05-03,09:00,"Zhanakorgan District, Kyzylorda Province",Kazakhstan,43.9209,67.6331,360,"male, song","

bird-seen:yes

playback-used:no",,183679,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jordi Calvet",2014-06-10,10:47,"Serra de Rubió, Anoia, Catalunya",Spain,41.6584,1.6148,800,"male, song","

bird-seen:yes

playback-used:no","Sylvia undata",181713,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jerome Fischer",2014-05-20,08:00,"Rüschegg, Schwarzenburg District, Canton of Bern",Switzerland,46.6983,7.4499,2000,song,"flight song

bird-seen:yes

playback-used:no",,178848,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jordi Calvet",2014-04-17,08:10,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,song,"Male on a rocky slope.

bird-seen:yes

playback-used:no","Lullula arborea",175529,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Noémie D",2006-05-26,11:00,"Fully, Martigny, Valais",Switzerland,46.15,7.084,1900,"female, flight call, male, song","High pass filter (400Hz)
The couple was present and one fly away with a little scream

bird-seen:yes

playback-used:no",,168115,//creativecommons.org/licenses/by-nc-nd/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Noémie D",2006-05-26,11:00,"Fully, Martigny, Valais",Switzerland,46.15,7.084,1900,song,"High pass filter and little cut when the parabola was touched (less than 1 second)
The couple was present

bird-seen:yes

playback-used:no",,168114,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Thijs Fijen",2013-07-02,15:40,"Rachmanovskiy lake, Altai",Kazakhstan,49.551,86.499,2230,Song,"

bird-seen:yes

playback-used:no","Luscinia svecica",145211,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Bernard BOUSQUET",2013-08-05,09:00,"Frontera del Portalet, Huesca, Aragon",France,42.8002,-0.4457,2200,song,"In steep zone of meadows and rocky blocks. Probably Oenanthe oenanthe, abounding on the site. Other species on the zone : Monticola saxatilis, Saxicola rubicola.
Thank you in advance to help me. Bernard

bird-seen:no

playback-used:no",,144386,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"julien Rochefort",2013-07-19,11:30,"Orcières, Hautes-Alpes, Provence-Alpes-Côte d'Azur",France,44.721,6.3807,2500,"call, male","Bird 50 m from me. Nagra  Ares MII, ME 66.

bird-seen:yes

playback-used:no",,143552,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Manuel Schweizer",2010-05-08,08:30,"Eyguières, Bouches-du-Rhone, Provence-Alpes-Côte d'Azur",France,43.7155,4.9692,240,song,"

bird-seen:yes",,133429,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Patrick Franke",2011-04-19,06:54,Tadzhyzaray,Kazakhstan,43.5894,69.0038,815,"song, counter song","

bird-seen:yes

playback-used:no","Alectoris chukar,Oenanthe pleschanka,Sitta tephronota",120371,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Egidio Fulco",2008-06-23,07.20,"Mt. Raparello (PZ)",Italy,40.223,16.013,1200,Song,,"Linaria cannabina",101018,//creativecommons.org/licenses/by-nc-nd/2.5/
"Common Rock Thrush","Monticola saxatilis",,"Bernard BOUSQUET",2021-05-05,10:00,"Frontera del Portalet, Huesca, Aragon",France,42.8002,-0.4457,2200,song,"

bird-seen:no

playback-used:no","Phoenicurus ochruros,Anthus spinoletta",647328,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,lobyks,2019-07-17,15:00,"Municipality of Bosansko Grahovo, Kanton 10, Federacija Bosne i Hercegovine","Bosnia Herzegovina",44.1924,16.3093,950,"begging call, call","Mountain meadows with scattered rocks and pine trees. Record has been pumped up. In the vicinity a 1cy Common Rock Thrush was seen. Possibly type2 calls?
 
Bergwiesen, mit Felsen und Kiefern durchsetzt. Aufnahme nur im Pegel verstärkt. In der Nähe hielt sich ein junger Steinrötel auf. Möglicherweise Typ2-Ruf?

bird-seen:no

playback-used:no",,493952,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Patrik Åberg",2018-04-07,08:49,"Georges de la Restonica, Corsica",France,42.2616,9.0835,850,"male, song","

bird-seen:yes

playback-used:no",,448018,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Patrik Åberg",2018-04-07,08:49,"Georges de la Restonica, Corsica",France,42.2616,9.0835,850,"male, song","

bird-seen:yes

playback-used:no",,448017,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Esperanza Poveda",2018-04-30,?,"Sierra de Segura (near  La Toba), Jaén, Andalucía",Spain,38.1828,-2.5587,1000,"male, song","Grabado en zona de alta montaña, muy escarpada y con vegetación de agracejos, piornos, y algunos escasos pinos.

bird-seen:yes

playback-used:no",,414399,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2017-07-14,10:00,"Valleraugue, Gard, Occitanie",France,44.1153,3.5666,1400,"flight call","

bird-seen:yes

playback-used:no",,380050,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Stanislas Wroza",2017-07-14,10:00,"Valleraugue, Gard, Occitanie",France,44.1153,3.5666,1400,"male, song","

bird-seen:yes

playback-used:no",,380044,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,Roby,2017-06-20,12:00,"Juf, Hinterrhein, Graubünden",Switzerland,46.4261,9.6063,2700,"male, song","

bird-seen:yes",,376741,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,maudoc,2017-04-23,07:00,"Valon del Malera, Lessinia, Verona, Veneto",Italy,45.693,11.108,1800,song,"

bird-seen:yes

playback-used:no",,366022,//creativecommons.org/licenses/by-nc-nd/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Albert Lastukhin",2014-05-03,08:30,"Zhanakorgan District, Kyzylorda Province",Kazakhstan,43.9209,67.6331,360,"male, song","

bird-seen:yes

playback-used:no",,183677,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Albert Lastukhin",2014-05-03,08:30,"Zhanakorgan District, Kyzylorda Province",Kazakhstan,43.9209,67.6331,360,"call, male","

bird-seen:yes

playback-used:no",,183676,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Antony Schubert",2014-06-21,11:00,"Le Reposoir, Haute-Savoie, Rhone-Alpes",France,45.9971,6.48,1600,song,"

bird-seen:yes

playback-used:no",,183034,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Bram Piot",2014-06-06,09:00,"Le Reculet, Thoiry, Ain",France,46.2504,5.9309,1200,song,"Poor recording (heavily filtered) on one of the very few sites for this species in the Jura range

bird-seen:yes

playback-used:no","Anthus spinoletta",181565,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Bernard BOUSQUET",2013-08-05,10:00,"Frontera del Portalet, Huesca, Aragon",France,42.8002,-0.4457,2200,song,"Recorded bird not observed (too far) but observation of several Monticola on the site

bird-seen:no

playback-used:no",,144786,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Fernand DEROUSSEN",2013-05-28,08:30,"Saint-May, Drome, Rhone-Alpes",France,44.4222,5.3457,750,song,"in the wings

bird-seen:yes

playback-used:no",,135385,//creativecommons.org/licenses/by-nc-nd/3.0/
"Common Rock Thrush","Monticola saxatilis",,"Jorge Leitão",2018-07-07,13:36,"Sezelhe, Montalegre, Vila Real",Portugal,41.8115,-7.8745,1000,"Sound call 2, call","

bird-seen:yes

playback-used:no","Serinus serinus",438100,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Francesco Sottile",2017-06-16,09:55,"Breno, Provincia di Brescia, Lombardia",Italy,45.9108,10.4106,1900,call,"

bird-seen:no

playback-used:no","Anthus trivialis,Saxicola rubetra",375779,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Rock Thrush","Monticola saxatilis",,"Jorge Leitão",2018-07-07,17:16,"Tourém, Montalegre, Vila Real",Portugal,41.9042,-7.8914,900,song,"

bird-seen:yes

playback-used:no","Emberiza calandra",426168,//creativecommons.org/licenses/by-nc-sa/4.0/
